발화자,발화문,인텐트
c,그럼 천재지변이나 기상 악화로 인한 취소시 수수료가 부과되나요?,구매 목록
s,이제 천재지변에 의한 취소나 운항 취소 같은 경우에는 저희 취소 수수료를 부과하지 않구요. 온라인으로 취소시에는 부과되실 수 있으세요,구매 목록
c,뭐 이것도 취소하고 해야하나요?,구매 목록
s,네 이 경우에는 이제 재예약을 해주셔야 되요,구매 목록
c,그러면 그것도 취소하고 해야하나요?,구매 목록
s,네 이것도 취소하시고 재구매해주셔야 되요,구매 목록
c,아 그러면 예약한 숙소 일부 취소 가능한가요?,구매 목록
s,다 방이나 복수 객실 구매하신 경우에는 불가능하세요,구매 목록
c,그럼 이것도 취소하고 해야되죠?,구매 목록
s,네 이것도 마찬가지세요,구매 목록
c,그럼 불가능하겠는데요?,구매 목록
s,아니에요 다른 매장 상품도 다 포함이에요,구매 목록
s,만약에 그때 오셔서 보시고 사이즈 안 맞으시면,구매 목록
s,취소해드릴까요?,구매 목록
c,아 그럴게요,구매 목록
c,그러면 지금 결제를 하고 안 하면은 취소하면 되니까,구매 목록
s,아 네네,구매 목록
c,출고준비상태는 취소가안되나요?,구매 목록
s,출고준비'상태 주문건은 해당 출고처에서 작업중인 관계로 바로 취소가 어렵습니다,구매 목록
c,주문 취소했는데 카드취소 내역 확인이 어렵습니다.왜그런거죠?,구매 목록
s,카드 결제 취소는 완료일로부터 영업일 기준 2~3일 소요되는 점 참고 부탁드립니다,구매 목록
c,주문 취소 요청 건 철회가 가능한가요?,구매 목록
s,요청하신 취소 주문건은 철회가 불가능합니다,구매 목록
c,차콜네이비 베이지 3개와 야죠왜 두개만 배송합니까?,구매 목록
s,해당 건재입고가 되지 않아 부분 취소 처리했어요.,구매 목록
c,다른 상품으로 다시 주문하기 위해 입금 후 취소했는데 입금이 안 됬어요 안 해주시는 건가요?,구매 목록
s,아래 문의 글 답변 참고 부탁드려요.,구매 목록
c,취소한 거 돈은 언제 들어오죠?,구매 목록
s,반품 승인 완료되었어요.,구매 목록
c,22일 240. 260 주문했는데 취소 가능한가요?,구매 목록
s,제품 발송 후 취소 불가합니다 제품수령 후 반품해주시면 감사할게요.,구매 목록
c,아니저 주문을 햇는데 품절이라 뇨취소하라는 말인가여?,구매 목록
s,문의주신 내용 확인하였습니다. 확인 결과 고객님께 제품 품절이라고 안내나간 적이 없는 걸로 확인됩니다.,구매 목록
c,혹시 교환하려다가 아에 취소하고 싶어서요 취소해 주실수 있져?,구매 목록
s,사이트에 반품 신청 부탁드릴게요. 반품 사유 반품 신청서에 작성 부탁드리며 시 환불 지연되오니 이점 참고 부탁드려요.,구매 목록
c,하나는 그냥 환불하려는 데 2번 하고 91번 중 뭐가 없는 건가요?,구매 목록
s,입고되는 대로 출고도와 드리며 미발송 상품 취소요청하실 경우 문의 글로 출고 중지요청과 사이트로 반품 접수해주시면 확인 후 처리도와 드릴게요.,구매 목록
c,네이비 XL와인 XL딥블루XL는 누락된 건가요?,구매 목록
s,해당 건재입고가 되지 않아 부분 취소 처리했어요.,구매 목록
c,금일 출고한다 했놓쿠말도 없이 취소 환불하는 경우가 어디 있?,구매 목록
s,불편을 우선 드려서 너무나 죄송합니다 고객님께 양질의 서비스를 드려야 하는데 그렇게 하지 못한 점 사과 드립니다.,구매 목록
c,14일 주문 후 26 - 27일 추가 입고 되니 기다려달라고 답변 다시더니 왜 자동 취소가 되었져?,구매 목록
s,남겨주신 정보로는 주문 조회가 불가하여 번거로 우시겠지만 주문번호 또는 고객님의 성함과 핸드폰 번호 문의 내용 다시 남겨주시면 확인 후 답변도와 드릴게요.,구매 목록
c,"니트도 괜찮은 듯하여 결제했는데, 취소해야 하나요?",구매 목록
s,행사 종료 옵션의 경우 품번 확인이 어려운 정상적이지 않은 주문건으로 발송이 어려워 주문 취소 처리되니 이 점 양해 부탁드리겠습니다.,구매 목록
c,취소할 거면 왜 팔아요?,구매 목록
s,상품 품절로 인하여 주문 취소 처리된 점죄송합니다.,구매 목록
c,이 제품도 취소할수 없을까요?,구매 목록
s,주문하신 상품 품절로 이전문의 글에 남겨 드렸어요. 품절 부분은 해당 부서에서 처리 중에 있어요.,구매 목록
c,저기요발송 중이라 오늘 떠 있었는데 환불 완료라뇨? 저는 환불한 적 없는데요?,구매 목록
s,처리했어요.,구매 목록
c,품절 뜨기 훨씬 전에 구매했는데 설마 저번에 주문했던 때처럼 품절이라고 갑자기 구매 취소되는 일은 없겠죠?,구매 목록
s,문의 주신 내용 확인하였습니다. 누락되는 제품 없이 제품 발송해드리도록 하겠습니다.,구매 목록
c,취소도 안 했는데 마음대로 취소하고 입금 함?,구매 목록
s,최종 품절 상품으로 문자로 안내드린 후 취소 처리가 되신 듯합니다.,구매 목록
c,제품 얼룩 오염 있어서 반품 신청했는데 언제 환불해 주십니까?,구매 목록
s,회수 진행 확인 시 아직 당사로 입고되지 않아 입고 후 처리 예정이며 택배 사지연으로 늦어지는 경우 확인 후 최대한 빠른 처리도와 드리겠사오니 조금만 시간 양해 부탁드려요.,구매 목록
c,"배송 준비 중일 때 주문 취소했는데 4시간 후 취소 거부, 배송 시작되는 건 무엇인가요?",구매 목록
s,주문 취소 요청하신 제품이 미오전 중에 포장되어 발송처리되었으며 송장번호만 늦게 입력된 것이 오니오해 없으시길 바라며 주문 취소 건을 실시간 확인할 수 없어 바로 취소 처리가 불가한 점 양해 부탁드립니다.,구매 목록
c,왜 취소된 거죠?,구매 목록
s,품절 상품으로 인해 주문이 취소된 거 같습니다.,구매 목록
c,리뷰에 보니 한 사이즈 크게 주문해야 한다기에 잘못 시켜서 취소 신청했는데 언제 처리되나요?,구매 목록
s,근무시간 이후 문의를 주셔서 처리가 지연되었습니다. 지금 방금 취소 승인해드렸어요.,구매 목록
c,환불 처리를 왜 해서 제가 손해를 보쥬?,구매 목록
s,재고품절로 환불 처리했어요.,구매 목록
c,왜 취소된 거죠?,구매 목록
s,주문하신 제품 현재 재고가 없습니다. 취소 처리 먼저 도와드렸으며 현재 S사이즈는 구매 가능한 상태이니 혹시 구매원하신다면 재결제해주시면 됩니다.,구매 목록
c,상품 품절됐다고 취소요청하라고 문자 왔는데 뭐죠?,구매 목록
s,품절 처리 완료하였습니다.,구매 목록
c,사이즈미스로 주문 후 바로 취소했는데 이럼 다시 주문해야 되겠죠?,구매 목록
s,배송 준비 중 이전 상태에서는 즉시 취소가 가능해요.,구매 목록
c,왜 취소 거절이죠?,구매 목록
s,상품 준비 중에는 취소가 어렵습니다.,구매 목록
c,베이지 품절이라고 취소됐던데 왜 블랙 빼고 제품이 있는 거였나요?,구매 목록
s,상품 품절은 아니시고 입고 지연으로 인해 패션플러스 자동품절 취소 처리 진행되신 부분입니다.,구매 목록
c,취소 신청 안 했는데 왜 취소 중인 거죠?,구매 목록
s,현재 해당 상품 시즌 오프로 품절되어 배송팀 쪽에서 취소해드린 것으로 확인되었어요.,구매 목록
c,사이즈 잘못 신청했는데 취소 하구 다시 해야 하나요?,구매 목록
s,얼리픽 고객센 타입니다 주문하신 상품은 포인트 빅로고프린팅 집업 후드 블랙/레드 M로 출고될 예정입니다.,구매 목록
c,2월 14일까지 배송이라고 되어 있길래 넉넉하게 생각하고 기다렸는데 연락도 없이 자동 취소해버리시면 그냥 아취소되었구나 하고 생각하고 말아야 하는 건가요?,구매 목록
s,현재 우한코로나로 인해 중국 공장이 중단되고 중국에서 입고되는 원단들이수요 중단되어 상품 입고 가 지연되고 있어요.,구매 목록
c,취소 처리해주신 다했는데 안 되어 있네요 언제 되니?,구매 목록
s,취소요청되었습니다. 환불까지는 3 - 4일 소요됩니다.,구매 목록
c,와인이랑 민트 두개가 안 와서 재배송요청을 한 지 4일이 지났는데 언제 보내주시나유?,구매 목록
s,해당 상품 재입고가 되지 않아 부분 취소 처리했어요.,구매 목록
c,오늘 배송되는 걸로 알고 있습니다 배송 언제 되나여?,구매 목록
s,빠른 입고 배송을 및 위해 거래처에 지속적으로요청하고 있으니 고객님의 너그러운 마음으로 양해 부탁드릴게요.,구매 목록
c,결제 취소는 언제쯤 처리 가능한가요?,구매 목록
s,저희 쪽에서 반품 완료 처리도와 드렸습니다. 불편을 드려 대단히 죄송하며 더 나은 서비스로 찾아뵙겠습니다.,구매 목록
c,배송일되서 취소되는 건 왜 그런 건가요?,구매 목록
s,구매하신 주문서 확인이 어려워 정확한 도움 답변드리기 어려운 점 양해 부탁드려요.,구매 목록
c,42번 베이킹 라운드 연남품절이라고 문자 왔는데 입을 흰색은 못 것 같아서 그냥 취소하려 구요 제가 이것만 선택해서 취소하면 되는 건가요?,구매 목록
s,취소 완료되었어요.,구매 목록
c,슬렉스 주문한 지 좀 됬고 배송 날짜가 12일까진데 안 와서 배송 취소했는데 원래 슬렉스 옷값은 언제 다시 주시는 건가요?,구매 목록
s,환불은 당사에 권한 없어 구매하신 사이트 고객센터로 문의 부탁드릴게요.,구매 목록
c,아니 무슨 개뿔 딱 같은 회사 길래 아무런 설명 없이 주문 취소 시킵니까?,구매 목록
s,선 취소되어 대단히 죄송합니다.,구매 목록
c,날이 더워지면 반팔 옷을 입어야 할 듯하는데 배송 지연으로 취소가 가능한지요?,구매 목록
s,우선 처리가 지연되어 대단히 죄송하오며 빠른 배송 취소도와 드리겠습니다.,구매 목록
c,반품 보내서 받으셨던데 언제 환불될까?,구매 목록
s,빠르게 환불될수 있게 진행도와 드릴게요.,구매 목록
c,다른 제품이 와서 교환 처리했는데 왜 아직도 처리가 안 되었는지요?,구매 목록
s,확인 후 금일 교환 처리 진행하도록 할게요.,구매 목록
c,원래 오늘 배송이 오게 되어 있는데 왜 환불 처리가 된 거죠?,구매 목록
s,주문의 하신 상품 품절로 인해 환불 처리 완료 확인되었어요.,구매 목록
c,아니말도 없이 취소시켜 버리셨네요?,구매 목록
s,처리 사으로 문제로 불편드려서 넘죄 송합니다.,구매 목록
c,M사이즈 색상을 네이비시켜야 되는데 블랙으로 잘못 시켜서 배송 중이기 두하구 저렴해서 네이비를 다시 시켰는데 받아보니 M사이즈가 작더라구요 L사이즈로 시켰어야 되는데 정사이즈M보다 작게 나왔더라구요 배송 중에 취소하구 다시 시킬수 있습니까?,구매 목록
s,배송 중에 취소는 할수 없습니다. 상품을 받으시고 반품으로 진행하시고 새로 주문하시던지해야 합니다.,구매 목록
c,20일 날 주문건 블랙 사이즈 없어서 화이트만 주문하고 부분 취소한다고 업체와 통화했는데 부분 취소 처리되었겠죠?,구매 목록
s,반품 신청을 주문 내역에서 눌러주신다면 더 빠른 처리 가능할 것 같아요. 고객님께 불편드려 대단히 죄송합니다.,구매 목록
c,왜 갑자기 취소가 됐나요?,구매 목록
s,시스템 오류로 인하여 가성비 라운드 골지T 재고오 등록되어 상품 발송이 어려워 주문 취소로 도와드렸어요.,구매 목록
c,6번 취소해달라는데 왜 이리 늦나요?,구매 목록
s,주문하신 제품 4일 출고 처리되어 5일 수령하신 걸로 조회되며 이후 다른 문의사항 있으시면 문의주시기 바랍니다.,구매 목록
c,취소된 금액은 언제 입금되나요?,구매 목록
s,죄송하지만 현재 고객님의 주문건이 미 출 고 완료되어 요청사항 변경이 어려운 점 양해 부탁드립니다.,구매 목록
c,14일 도착이라고 송장번호도 안 떠서 오늘 여행 때 입을 거라 라 이틀 전 취소 신청하고 매장 가서 다샀는데 오늘 2시 도착 예정은 뭐에요?,구매 목록
s,해당 제조사고객센터 통해 반품 신청 바랍니다.,구매 목록
c,배송도 늦은 상태에서 왜 아무 말 없이 취소가 됩니까?,구매 목록
s,주문번호와 함께 문의 글 다시 남겨주시면 확인 후 정확한 답변 드릴게요.,구매 목록
c,멋대로 취소 이유 알려주시죠?,구매 목록
s,시스템 오류로 인하여 가성비 라운드 골지T 재고오 등록되어 상품 발송이 어려워 주문 취소로 도와드렸어요.,구매 목록
c,"135번, 142번이 2개 갑자기 취소 말한는가요?",구매 목록
s,4개 주문 상품 중 2개 상품 품절로 주문 취소 환불 처리 후 나머지 상품 발송하여 드렸어요.,구매 목록
c,2건 취소 왜 안 해주시나요?,구매 목록
s,처리되었습니다.,구매 목록
c,분명 배송준비 중인 상태에서 취소 신청을 했는데 왜 발송부터 하고 취소 거부를 하시나요?,구매 목록
s,고객님께서 취소하셨을 때에 이미 출고가 완료되어 취소를 못해드린 걸로 확인되며 제품 수령 후에 저희 측으로 보내주시고 환불하시려면 배송비 5 000원 부담되시는 점 참고 부탁드립니다.,구매 목록
c,선착순 열심히 들었는데 왜 취소가 되는 거죠?,구매 목록
s,시스템 오류로 인하여 가성비 라운드 골지T 재고오 등록되어 상품 발송이 어려워 주문 취소로 도와드렸어요.,구매 목록
c,취소 신청 2일째 아직도 안 해줌 멍미?,구매 목록
s,확인 후 처리하도록 할게요.,구매 목록
c,상품을 두개시켜서요혹시 취소 가능하한가요?,구매 목록
s,이미 출고되어 취소 불가하십니다. 상품인수 후 반품 신청부탁드릴게요.,구매 목록
c,취소한 적이 없는데 일방적으로 취소되어 문의합니다 재고가 없나요?,구매 목록
s,단독 구매 불가 제품만 구매 시 자동환불 처리로 진행됩니다.,구매 목록
c,환불한 작 없는데 환불 처리가 돼 네요?,구매 목록
s,상품 분실로 환불 처리 도움 드렸어요.,구매 목록
c,구매 취소를 이틀 전에 분명히 했는데 어떻게 배송 출발한 거죠?,구매 목록
s,판매자는 취소 권한이 없습니다.,구매 목록
c,까 다음 주 배송 예정이던 데 이번 주 배송 어려울 것 같으면 취소 가능할까요?,구매 목록
s,네 주문하신 싸이즈트에 주문 취소하시면 됍니다.,구매 목록
c,카드 취소는 언제 되는 것이며 여기는 왜 반품 현황이 보이지 않습니까?,구매 목록
s,먼저 불편드려 대단히 죄송합니다. 문의 주신 상품 현재 반품 접수로 확인되시며 기사님의 스케줄에 따라 1 - 4일 후 고객님께 방문하여 회수하실 예정이오니 고객님의 시간 양해 부탁드립니다.,구매 목록
c,아무 이유 없이 왜 취소되는 건가요?,구매 목록
s,해당 건 구매하신 사이트 통해 취소 처리해드렸으며 결제하신수단대로 환불 진행될 예정입니다.,구매 목록
c,아직 배송 준비 중인데 제가 잘못 주문한 거라서 지금 환불하면 5000원 부담해야 하져?,구매 목록
s,배송 전엔 취소 신청주시면 됩니다.,구매 목록
c,출고도 안 됐는데 왜 카드 취소 안 해주세요?,구매 목록
s,주문 정보가 없어 구매하신 내역이 확인되지 않습니다. 주문번호.성 함재 확인 부탁드릴게요.,구매 목록
c,주문 결제 후 3일차에 물건 재고가 없다고 취소하는 것은 뭔 경우 인가요?,구매 목록
s,연휴로 인해 주문건 금일 내려받아 품절 확인된 것으로 확인되요. 추후 같은 문제가 발생하지 않도록 담당자 시정요청 드릴게요.,구매 목록
c,왜 취소가 되었나요?,구매 목록
s,상품 품절로 취소 진행 드렸어요.,구매 목록
c,품절로 판매자 취소요청 받아서 취소하려는 데 배송비 차감되네요?,구매 목록
s,배송비 차감안되시 구 전체 환불되세요. 취소 접수해주시면 취소 승인할게요.,구매 목록
c,제가 지금까지 오래 오래 서비스가 별로인데도 기다리고 있었는데 고객에게 알리지도 않고 환불 접수를 판매자가 마음대로 하는 경우도 있습니까?,구매 목록
s,품절 상품은 어쩔수 없이 환불도와 드렸어요.,구매 목록
c,왜 취소하세요?,구매 목록
s,않아 품절 안내를 재고확인이 미흡하여 실수량과 맞지 해드린 경우입니다.,구매 목록
c,135하고 142 상품을 왜 취소한 가요?,구매 목록
s,4개 주문 상품 중 2개 상품 품절로 주문 취소 환불 처리 후 나머지 상품 발송하여 드렸어요.,구매 목록
c,제품 구매가 왜 취소되었을까요?,구매 목록
s,확인해보니 발송 전 취소로 확인되고 있어요. 취소요청하시거나 자동 취소된 듯합니다.,구매 목록
c,주문 취소하지도 않았는데 주문 취소를 왜 임의로 하시는 건지요?,구매 목록
s,판매자는 주문 취소 권한이 없습니다. 출고가 안 되어 시스템 상 자동으로 품절 처리가 된 것 같아요.,구매 목록
c,오프밴딩 청바지 구매한 지 2주는 넘은 것 같은데 보내주겠다고 기다리라 하더니 갑자기 환불 승인이 됐네요?,구매 목록
s,해당 상품 품절건으로 환불 처리되었습니다 금액 문의는 고객센터로 문의 바랍니다.,구매 목록
c,일방적인 취소 통보라니 이게 뭐죠?,구매 목록
s,저희 미국 출고팀에서 상품 검수 후 정상 출고 불가능한 경우 문자 안내드립니다.,구매 목록
c,취소한 적 없는데 왜 취소되어 적립금 환불된 건가요?,구매 목록
s,죄송하지만 취소 처리를 저희 측에서는 할수 없습니다. 고객센터 측에서 취소 처리된 것으로 보여 정확한 답변은 고객센터 측으로 문의 부탁드려요.,구매 목록
c,환불 언제 되냐고요?,구매 목록
s,수거 중이므로수거 완료되는 대로 빠른 환불도와드릴게요.,구매 목록
c,주문시켰는데 품절이라고 뜨네요 그러면 주문 취소되는 건가요?,구매 목록
s,네 현재 후드집업 블랙 M사이즈는 품절입니다 에코플리스의 경우 구 버전으로 이제 단종되어 더 이상 재입고가 안 됩니다.,구매 목록
c,배송 준비 중인데 취소 가능한 가오?,구매 목록
s,판매자는 취소 권한이 없습니다.,구매 목록
c,취소를 갑자기 왜 맘대로 하세요?,구매 목록
s,상품 장기적으로 입고 가 지연되고 자동 주문 취소되시기 전에 주문 취소도와 드렸어요.,구매 목록
c,취소한 적 없는데 왜 취소된 거죠?,구매 목록
s,죄송하지만 구매 건품절로 확인되어 환불로 처리된 것으로 확인됩니다.,구매 목록
c,입고 예정이라 길래 2주를 기다렸는데 아무 연락 없이 재고 부족이라고 주문 취소하시는 것은 좀 아니지 않지요?,구매 목록
s,당사 측 전산상 거래처 입고 지연으로 배송 예정일이 넘어가자 동취소가 되었습니다.,구매 목록
c,아니 갑자기 취소된 건 뭐죠?,구매 목록
