발화자,발화문,인텐트
s,이거요~ 이건 몰드블래지어인데요 레이스가 아래쪽만 있어서 정말 로 단순하고 문안한 스타일이예요,상품 추천
c,그렇네요,상품 추천
s,잘 어울릴 것 같은데 한번 입어 보세요,상품 추천
s,유행 전혀 안타는 스타일이에요. 원래 가격은 오십만원이 넘었어요,상품 추천
c,네,상품 추천
s,피부가 밝은 편이라 너무 잘 어울리네요,상품 추천
c,몸에 착 붙는 느낌이네요,상품 추천
s,고객님 키에 기장도 딱 좋네요,상품 추천
c,네 좋아요,상품 추천
c,진한 베이지 한번 입어 볼게요,상품 추천
s,입어 보시고 거울 한번 보세요,상품 추천
c,그런가요,상품 추천
s,ㅎㅎㅎ 그럼 이쪽으로 오세요 시즌시작하기 전부터 저희는 겨울 상품 나오거든요,상품 추천
c,한번 볼께요,상품 추천
s,네 천천히 보세요,상품 추천
c,그럴께요,상품 추천
s,삼십사면은 백오가 좋습니다,상품 추천
c,백오여,상품 추천
s,땀이 많이 흘리시는 경우에는 면이나 모달 제품 같은 게 좋고요 스타일이 그다음에 이제 땀이 이렇게 많지 않으시면 그냥 스판이나,상품 추천
c,면으로 된 게 좀,상품 추천
s,면으로 된 거요,상품 추천
c,아무래도 사람 피부라서 그냥 속옷이랑 면이 저는 그냥 면이 더 좋은 것 같아요 면이 더 좋은 것 같아요 맞아요,상품 추천
s,사십대면 약간 젊은층 스타일로다가 한번 보여드릴게요,상품 추천
s,이거 한번 보실래요 이거 제가 봤을 때는 여기에 제일 잘 나가거든요 여기 스타일 어떠세요 지금 여기에 지금 검정색 가운데 있고요 여기 회색 그다음에 이거는 이제 네이버색,상품 추천
c,너무 어두운 것 같아서,상품 추천
s,조금 작은 걸로 보여드릴게요 같은 나이대보다 조금 작은 걸로,상품 추천
c,그걸로 보여주세요 먼저,상품 추천
s,무난한 거,상품 추천
c,걔도 아빠 닮아서 무단한 걸 좋아해서,상품 추천
s,그럼 이건 어떠신가요?,상품 추천
c,괜찮네요,상품 추천
s,옥스포드 소재의 제품인데 어떠신가요?,상품 추천
c,괜찮네요,상품 추천
s,요새는 아우터가 유행입니다,상품 추천
c,그럴까요?,상품 추천
s,이게 더 잘어울리세요,상품 추천
c,전부 칠십퍼센트 할인이예요?,상품 추천
s,네 여기 앞에 제품들이요,상품 추천
s,그냥 가격대로 보시는 게 좋을 것 같아요,상품 추천
c,아 그래요?,상품 추천
s,블랙 신발 많으시면 카키도 포인트되고 좋죠,상품 추천
s,처음이라 그러실거에요 그럼 스키니진이 맘에 드세요?,상품 추천
c,아무래도 그게 낫겠어요,상품 추천
s,이런거요?,상품 추천
c,아니요 구멍에 징이 달린거요,상품 추천
c,아 이 가게에서 하지말고 다른 가게에서 하라는 건가요?,상품 추천
s,우리 가게는 4천원이에요,상품 추천
s,딱 맞으신거 같은데요?,상품 추천
c,저게 나아요?,상품 추천
s,네,상품 추천
s,주니어에서 한 번 보실래요? 저희쪽에는 사이즈가 다 빠졌네요,상품 추천
c,주니어면 여기랑 다른 거예요?,상품 추천
s,보통사이즈면 150정도가 맞을 거 같은데요?,상품 추천
c,아 그래요,상품 추천
s,작고 왜소하시면 140 정도가 맞을 거 같은데요?,상품 추천
c,아 네,상품 추천
s,원피스나 치마는 이 쪽에 있으니까 둘러보실래요?,상품 추천
c,아 네,상품 추천
s,애기가 이런 여성여성 한 거 좋아하면 이런 거 어떠세요?,상품 추천
c,아 이런게 먹히는구나,상품 추천
s,네 이건 없어서 못팔아서 한 번 보시겠어요?,상품 추천
c,아 네,상품 추천
s,근데 얘는 좀 기장이 길어야 예뻐요 긴 거 한 번 보시겠어요?,상품 추천
c,네,상품 추천
s,아니면은 이거도 되게 반응 좋거든요?,상품 추천
c,네,상품 추천
s,이 제품,상품 추천
c,네,상품 추천
s,앞으로 겨울 거도 보시려면 이거는 가방하고 세트인데 반응이 좋아서 어떠세요?,상품 추천
c,아 네,상품 추천
s,저거요?,상품 추천
c,이게 유행이라고요?,상품 추천
s,네 많이들 입으세요,상품 추천
c,좀 우리 애한테는 큰 거 같다,상품 추천
c,이거 후드랑 같이 입으면 예쁘겠다,상품 추천
c,저거랑 세트처럼 보이네요,상품 추천
s,테이퍼드진도 있는데요?,상품 추천
c,어떤거에요,상품 추천
s,이건데 한번 입어 보시겠어요?,상품 추천
c,네,상품 추천
c,아 그거 예쁘네요,상품 추천
s,남자 분들이 곤색이나 검정 바지 같은 걸 많이 입으시잖아요,상품 추천
c,예쁘네요,상품 추천
s,아주 잘 어울리시네요?,상품 추천
c,괜찮네요,상품 추천
s,일단 입어보시겠어요?,상품 추천
c,그럼 입고 나올께요,상품 추천
s,이것도 잘 어울리시는데요?,상품 추천
c,전 잘 모르겠네요,상품 추천
s,요즘 유행하는 걸로 아래가 살짝 나팔인데 괜찮으세요?,상품 추천
c,디자인은 괜찮은데,상품 추천
s,일단 입어보시겠어요?,상품 추천
c,그럼 입고 나올께요,상품 추천
s,이것도 잘 어울리시는데요?,상품 추천
c,전 잘 모르겠네요,상품 추천
s,그럼 이걸로 입어보시죠?,상품 추천
c,네 주세요,상품 추천
s,이것도 잘 어울리시는데요?,상품 추천
c,전 잘 모르겠네요,상품 추천
s,어울리실 것 같은데요?,상품 추천
c,컬러가 참 예쁘네요,상품 추천
s,얼굴이 확 사시는데요?,상품 추천
c,그런가요,상품 추천
s,입어보시겠어요?,상품 추천
c,네,상품 추천
s,피부가 깨끗하셔서 잘 어울리는데요?,상품 추천
c,저도 맘에 드네요,상품 추천
s,가벼운거 찾으시면 이쪽게 낫거든요?,상품 추천
c,요거,상품 추천
s,그러니까 차라리 블랙이 낫다니까,상품 추천
s,롱부츠 괜찮으실 거예요,상품 추천
s,이런 귀여운 느낌도 좋고요,상품 추천
s,이것도 되게 귀여워요 했을 때 여성스러우면서 모던한 느낌이라 쓰시기 너무 좋아요,상품 추천
c,그러네요. 되게 부드럽네요,상품 추천
c,아 그래요?,상품 추천
s,왜냐하면 나이 들면 너무 칙칙한 컬러하면 얼굴이 팍 죽어,상품 추천
c,아 그렇구나,상품 추천
s,이것도 괜찮고,상품 추천
s,아니면 이런 조끼도 괜찮은데? 가격도 싸고,상품 추천
c,이거 이쁘죠?,상품 추천
s,네,상품 추천
c,캐주얼하게 이런게 전 잘 어울리는거 같네요?,상품 추천
s,그런거 같아요,상품 추천
c,이거는 어때요?,상품 추천
s,그거 이쁘죠. 잘 나가요,상품 추천
c,네. 백이 나을거 같은데요?,상품 추천
s,네. 백으로 지금 드릴게요,상품 추천
c,가슴이 있어서 백을 입는게 훨씬 낫죠?,상품 추천
s,네. 손님은 백이 나으실거 같아요,상품 추천
c,가슴때문에 백을 입어야 할거 같은데요?,상품 추천
s,손님. 아무래도 백을 입으셔야겠어요,상품 추천
s,여기에 슬랙스 입으셔도 되고 지금 입은 청바지도 괜찮으신데요?,상품 추천
c,흠 그런가요,상품 추천
s,어떠세요?,상품 추천
c,너무 두껍고 조금 무겁네요,상품 추천
s,동네 산 다니시면 이 정도만 신으시면 되는데,상품 추천
c,네 그렇죠,상품 추천
c,일자핏이요?,상품 추천
s,일자 입어보시고 여러가지도 다 입어보세요,상품 추천
s,으음 이 제품도 있구요,상품 추천
s,근데 요즘에 짧은 게 유행이에요,상품 추천
s,근무하실 때는 이런 거. 이런 패딩,상품 추천
s,운동하기도 좋고 평상복으로도 좋고,상품 추천
c,요즘은 다들 운동들 하더라고요,상품 추천
c,이건 딸래미 입히면 좋겠어요,상품 추천
s,그렇죠,상품 추천
s,여기도 한 번 보세요,상품 추천
c,어머 예쁘다,상품 추천
s,색깔이 이게 딱 괜찮다,상품 추천
s,이것도 하나 같이 하세요,상품 추천
s,그럼 이것도 귀여운데?,상품 추천
c,네,상품 추천
s,그럼 백십으로 가져가세요,상품 추천
c,그럼 그걸로 주세요,상품 추천
c,애 발 사이즈 백오십이에요,상품 추천
s,그럼 이걸로,상품 추천
s,그러면은 100일정도로 맞추면 될 거 같아요,상품 추천
c,아아,상품 추천
c,아 안 돼요?,상품 추천
s,또 이건 이게 백사십 마지막이에요,상품 추천
c,삼십은 너무 작겠죠?,상품 추천
s,글쎄,상품 추천
s,이게 실제로 푹신푹신하거든요? 그리고 이게 오늘부터인가 오만 구천 원으로 내려갔어요,상품 추천
c,아 그래요? 제가 이렇게 된 게 예뻐서요,상품 추천
s,이런 거 있어요. 심플하게,상품 추천
c,글자가 없으니까 안 예쁘네요,상품 추천
s,저도 지금 나이키 신다가 일 하면서 뉴발을 신어보니까 확실히 발이 편해요,상품 추천
c,그래요? 근데 왜 이렇게 달라 보이지? 작아서 예쁜 건가?,상품 추천
s,그렇죠,상품 추천
c,그럼 좀 큰 편이니까 여성용 작은 걸로 입어야겠네요,상품 추천
s,그래서 일자핏 정도로 입어주시는 게 괜찮아요,상품 추천
s,말랐네? 그럼 칠십오만 해야 되겠다,상품 추천
c,네. 속옷도 칠십오 정도 입는 것 같아요,상품 추천
s,저쪽에 사천구백 원짜리 괜찮은 거 있는 것 같던데?,상품 추천
c,그래요? 또 가 봐야겠다,상품 추천
s,이게 포인트예요 여기다가 악세사리나 아님 크로스백 같은 가방 매면 얼마나 이쁜데요? 하하하,상품 추천
c,네,상품 추천
s,손님한텐 아까 그 원피스들보다 이 옷이 훨씬 얼굴이나 피부톤이 확 사시네요 이쁘신걸요?,상품 추천
c,하하하 감사합니다,상품 추천
s,이건 팔찌인데 여기다가 팔찌가지 이렇게 하시면 되게 이뻐요 어때요?,상품 추천
c,음 괜찮네요,상품 추천
s,이게 포인트예요 여기다가 악세사리나 아님 크로스백 같은 가방 매면 얼마나 이쁜데요? 하하하,상품 추천
c,네,상품 추천
s,손님한텐 아까 그 원피스들보다 이 옷이 훨씬 얼굴이나 피부톤이 확 사시네요 이쁘신걸요?,상품 추천
c,하하하 감사합니다,상품 추천
s,이건 팔찌인데 여기다가 팔찌가지 이렇게 하시면 되게 이뻐요 어때요?,상품 추천
c,음 괜찮네요,상품 추천
s,그리고 여기다가 신발은 운동화나 단화신으면 이뻐요 마네킹 밑에 있는 단화 보이시죠?,상품 추천
c,네,상품 추천
s,옆에 있는 옷들도 오십프로 행사 상품이거든요?,상품 추천
c,아 이옷들도 이쁘네요,상품 추천
s,그 디자인도 잘나가는 거에요,상품 추천
s,이 노란색 우주복도 이쁘죠?,상품 추천
c,너무 귀엽네요,상품 추천
s,강아지 디자인이 잘 나가요,상품 추천
c,네,상품 추천
s,이것도 많이 입히시는데 어떠세요?,상품 추천
c,노란색이 무지 귀엽네요,상품 추천
s,여자 아이 옷이 살게 더 많아요,상품 추천
c,그러게요 여기 원피스 넘 예뻐요,상품 추천
s,옆에 우주비행 조끼도 귀엽지요?,상품 추천
c,네 귀여워요,상품 추천
s,남자아이라 파랑 포인트가 괜찮은거 같은데요?,상품 추천
s,가격 좋을때 이것도 한번 보시죠?,상품 추천
c,네,상품 추천
s,이건 여기저기 매치하기 좋아서 데일리 룩으로 추천해드려요,상품 추천
c,그러게요 편하겠어요,상품 추천
s,이거 한번 보세요 오션에스티거든요?,상품 추천
c,심플하니 깔끔하네요,상품 추천
c,이 가방이 중학생들이  좋아하는 가방이에요?,상품 추천
s,네 요즘엔 드는건 잘 안써요,상품 추천
c,그래요?,상품 추천
s,크로스로 메는 걸 좋아해요,상품 추천
c,그래요?,상품 추천
s,왜냐면 겨울이다 보니까 아니면 이런 거,상품 추천
c,카키나 베이지요?,상품 추천
s,블랙보다는,상품 추천
c,좀 추워 보일까 봐 그랬는데,상품 추천
c,그게 좋을까요?,상품 추천
s,체구가 없으신 분들은 어두운 색 입으면 더 작아 보이세요,상품 추천
c,그렇긴 해요,상품 추천
s,좀 밝은 걸 입으셔야 체격이 있어 보이기 때문에,상품 추천
c,밴딩이니까 괜찮겠네요?,상품 추천
s,밴딩이니까 한 치수 정도는 커보이진 않거든요,상품 추천
c,그렇겠어요,상품 추천
s,그럼 좀 한사이즈 어떻게 좀 큰 걸로 보시겠어요,상품 추천
c,아 그래요,상품 추천
s,아 그리고 아까 단체티 로고 색상 정하려면 티셔츠에 어울리는 색상으로 정 하시는 것이 좋습니다,상품 추천
s,보통 흰색에 어울리는 추천 색상은,상품 추천
s,다섯 가지가 있습니다,상품 추천
c,아 이 5가지 색상인가요,상품 추천
s,네 그렇습니다,상품 추천
s,해서 혼합된 색에 어울리는 컬러는,상품 추천
s,흑색 청색 주황색 핑크색 남색 요렇게 다섯 가지 색상 보시면 됩니다,상품 추천
c,아 네 그래요 알겠습니다,상품 추천
s,그리고 검정색에 어울리는 색상은 흰색 적색 하늘색 핑크색 멜론 색,상품 추천
c,아 블랙이요,상품 추천
s,네  흰색 적색 하늘색 핑크색 메론색  이렇게 다섯 가지 색 참고하시면 되고요,상품 추천
c,아 그렇구나,상품 추천
s,빨간색에 어울리는 추천 색상은,상품 추천
c,아네 참고하겠습니다,상품 추천
s,그리고 오렌지  계열에 어울리는 로고 색상은,상품 추천
s,수박 색에 어울리는 색상은,상품 추천
s,핑크색 연녹 황새 노란색 하얀색이 어울립니다,상품 추천
c,아 그래요,상품 추천
s,마지막으로 노랑색에 어울리는 추천 색상은,상품 추천
c,네 드디어 마지막인가요,상품 추천
s,네 더 있지만 주로 많이 추천하는 색상이에요,상품 추천
s,즉 티 색상과 같은 계열의 유사색 주의하라는 얘기죠,상품 추천
c,네 아주 중요한 설명 잘 들었습니다,상품 추천
s,괜찮죠,상품 추천
s,아무래도 그렇겠죠?,상품 추천
c,네 청바지는 재질상 좀 그래서 기모가 들어가야 따뜻하실거에요,상품 추천
s,이거 신상 한정판이에요 있을때 하셔야 해요,상품 추천
s,이것도 이쁘시네,상품 추천
s,편안하고 안정감 있는 느낌이라 데일리로 좋으시죠,상품 추천
c,네,상품 추천
s,네. 그럼 아까 두번째로 보신 상품이 괜찮겠네요,상품 추천
s,이 패딩도 데일리 템으로 추천드려요,상품 추천
c,그러네요,상품 추천
s,코디는 맨투맨,상품 추천
c,네,상품 추천
s,그럼 블랙 컬러 추천드려요,상품 추천
s,차이점이요?,상품 추천
c,네네,상품 추천
s,트렌치코트 베이지색 한벌 드릴까요?,상품 추천
c,네네,상품 추천
c,스웨터요,상품 추천
s,네 스웨터 입으면 멋있을 것 같아서 입어만 보세요 고객님 한테 어울릴 것 같아서,상품 추천
s,검정이야 워낙 무난하지만 특별한 날 선물은 레드도 괜찮을 것 같은데요?,상품 추천
c,잘 어울릴지 모르겠네요,상품 추천
c,오리지날넘버링이요?,상품 추천
s,네네,상품 추천
c,트라이펌 커피색이요?,상품 추천
s,네네,상품 추천
c,포바라인이요?,상품 추천
s,네네,상품 추천
s,카키요?,상품 추천
c,네네,상품 추천
s,바렐 스트레치 싼제품이요?,상품 추천
c,네네,상품 추천
c,이호 입어야 되는구나?,상품 추천
s,네,상품 추천
c,구십호요?,상품 추천
s,네,상품 추천
c,오십센치요?,상품 추천
s,네,상품 추천
c,1번 36번 팬티. MLXLXx L사이즈가 품번마다 달라서 햇갈려서요평소 90 써져 있는 사이즈 입으면 여기 꺼도 90 써 있는 거로 사면될까요?,상품 추천
s,제조사 제품마다 사이즈에 조금씩 차이가 있어요. 평소 입으시는 사이즈로 주문하시면 됩니다.,상품 추천
c,54번 77사이즈 되겠죠?,상품 추천
s,문의 주신 상품 77사이즈 도 착용 가능해요.,상품 추천
c,일반 셔츠 105입는 남학생입니다 XL면 될까요?,상품 추천
s,교복 몰 CS1 팀입니다 학생복 사이즈기에 살짝 작게 나온 편입니다.,상품 추천
c,8번 77사이즈는 엑스라지 사면돼 나유?,상품 추천
s,안녀 하세요 구매하시고자 하시는 상품 클릭하시고 하단에 보시면 제품 상세 사이즈 참고하시어 구매 부탁드려요.,상품 추천
c,55입는데 L샤이즈 넘큰 건 아닌가요?,상품 추천
s,크지 않고 잘 맞으실 겁니다.,상품 추천
c,네이비 색상의 코트를 방금 추천하신거죠?,상품 추천
s,"네, 코트 중에서 네이비 색상의 코트를 추천드렸습니다.",상품 추천
c,키 ooo에 몸무게 oooo 인데 L사이즈 사면 맞을까요?,상품 추천
s,평소 입으시는 사이즈보다 한 치수 크게 구매하시는 것 추천 드립니다. 다만 표기 방식에는 정확한 사이즈가 정해져 있는 것이 아니므로 상세 사이즈 표 참고해 주시면 감사할게요.,상품 추천
c,55반인데 66사이즈 주문해야 하져?,상품 추천
s,문의하신 상품은 정사이즈로 제작된 상품입니다. 평균적으로 55착용하시는 분들은 55구매하셨습니다.,상품 추천
c,수요가 가장 많고 성능이 좋은 스포츠용 선글라스가 스포선글라스라고하셨나요?,상품 추천
s,"네, 스포선글라스가 요새 수요가 가장 많고 성능이 좋아서 추천드렸습니다.",상품 추천
c,85A 를 시켰는데 컵이 쫌작으면 85B 로 구매해야 되나요?,상품 추천
s,85A 보다 85B 는 둘레는 같고 컵은 한 치수커집니다.,상품 추천
c,모르간 모직 재킷 44입으면 패딩 재킷도 44주문하면 되져?,상품 추천
s,MORGAN 경량구스다운 상품 상세 사이즈 표 참고하여 구매해 주시기 바랍니다.,상품 추천
c,추천 상품이 네이비 색상의 코트라고 하셨나요?,상품 추천
s,"네, 네이비 색상의 코트를 추천드렸습니다.",상품 추천
c,허리 기준하니 25주문해야 하고 허벅지로 주문하려니 26해야 되는데 허벅지 기준으로 주문해야 되는 거죠?,상품 추천
s,기존에 사용하시는 사이즈 정사이즈로 주무하시면 착용에 도움이 되오니 참고 부탁드려요.,상품 추천
c,허리 36이면 XL하면 될까요?,상품 추천
s,사람마다 체형이 달라 고객님께서 알려주신 사이즈로는 정확한 사이즈 추천에 어려움이 있어요.,상품 추천
c,"67번 상품 뒷자리2, 4, 6번 했는데 흰 꽃, 민들레, 코랄 맞지요?",상품 추천
s,상품 명확인되셨구요 오늘 주문건 확인되어 구매해주신 제품 저희가 오늘 출고해 드리구요.,상품 추천
c,"바지 사이즈 28인데 66, 77 어느 사이즈 사야 하니?",상품 추천
s,중간에 걸치는 반사이즈인 경우는 작게 권장 드리고 있어 허리 28일 경우 우66사이즈로 선택해주시면 됩니다.,상품 추천
c,곱슬머리가 쓰기 좋은 헤어 브러쉬 맞죠?,상품 추천
s,"네, 곱슬머리나 얇은 모발용 브러쉬입니다.",상품 추천
c,추천하셨던 제품이 네이비 색상의 코트였나요?,상품 추천
s,"네, 추천하는 코트로 네이비 색상의 코트를 말씀드렸습니다.",상품 추천
c,보통 사이즈보다 한 사이즈 작게시키는 거 맞죠?,상품 추천
s,키와 체중을 감안하시여 한 치수 작게 주문하시길 권해드리고 있어요. 키 160 이상 보통 체형일 경우 80호 착용 가능합니다.,상품 추천
c,스포츠용 선글라스로 스포선글라스를 추천하신거죠?,상품 추천
s,"네, 스포선글라스를 스포츠용으로 추천드렸습니다.",상품 추천
c,이 운동화 커플용으로 신어도 괜찮겠죠?,상품 추천
s,"네, 커플용으로도 인기가 많은 운동화입니다.",상품 추천
c,보통 77이면 가슴 레가 50 정도인데 너무 작아요 허리 둘레는 42인데 정말 맞는지요?,상품 추천
s,보통 정사이즈를 추천 드리나 체형에 따라 차이가 있을수 있으므로 상세 페이지에 실측 사이즈를 참고하시어 구매하시길 바랍니다.,상품 추천
c,"평소 85A 에 팬티 100 사이즈 입는데, 그러면 95/L 이렇게 고르면 되나여?",상품 추천
s,그렇게 구매해 주시면 무난히 맞으실 것 같아요.만 고객님들의 체형이나 가슴 모양에 따라 조금씩 달라지므로 구매 시 상세 페이지를 다시 한 번 꼭 확인하여 구매 부탁드려요.,상품 추천
c,스포선글라스가 스포츠용으로 요새 가장 인기있는 상품이죠?,상품 추천
s,"네, 요새 가장 인기있는 상품이 스포선글라스입니다.",상품 추천
c,사이즈 Xx L 주문했는데 105가 XXxL 맞나요?,상품 추천
s,네 XXx L로변경하여 출고 진행하겠습니다.,상품 추천
c,지금 계절에 신을수 있는 양말 맞나요?,상품 추천
s,문의하신 상품 4계절 착용 가능한 상품임을 알려드립니다.,상품 추천
c,허리 사이즈 31 - 32입는데 XL 주문해야 하쥬?,상품 추천
s,보통 25 26 S 27 28 M 29 30 L 32 34 XL 사이즈를 추천해 드리고 있어요.,상품 추천
c,이 제품은 곱슬머리에 사용하기 좋은 헤어 브러쉬가 맞는 건가요?,상품 추천
s,"네, 해당 제품은 곱슬머리 또는 얇은 모발에 사용하실 수 있는 브러쉬입니다.",상품 추천
c,9번 77사이즈도 맞을까요?,상품 추천
s,프리 사이즈로 66까지 추천 드리며 개인 체형마다 차이가 있을수 있으니 하단에 상세 사이즈 참고 부탁드려요.,상품 추천
c,110가슴 너비가 45면 90이라구요?,상품 추천
s,재확인해 보니 110L 사이즈 가슴 둘레가 100으로 확인됩니다. 이용에 혼선을 드려 죄송합니다.,상품 추천
c,182 - 78 어깨가 좀 잇는데 2엑스가 좋겟죠?,상품 추천
s,저희 고객님들께서 평소 105사이즈 착용하신다면 XL 110사이즈 착용하신다면 2x L 로 선택하세요.,상품 추천
c,제가 맨투맨은 넉넉하게 110입는 데 맞겠죠?,상품 추천
s,주문건 확인하였으며 사이즈는 주관적인 사유로 정확한 안내가 어려운 점 양해 부탁드립니다.,상품 추천
s,스키니진은 어떠신가요?,상품 추천
c,한번 입어볼게요,상품 추천
s,다른 스타일도 입어 보실까요?,상품 추천
c,일자로 입어볼게요,상품 추천
s,일자로해서 이거 어떠세요?,상품 추천
c,네 괜찮네요,상품 추천
s,약간 나팔도 예쁜데 드려볼까요?,상품 추천
c,네 입어볼게요,상품 추천
c,몇 호 입어야 돼죠?,상품 추천
s,팔십호 입히면 될꺼에요,상품 추천
c,팔십호면 딱 맞나요?,상품 추천
s,네,상품 추천
c,근데 애가 빨리 크는데 딱맞으면 안될 것 같아요?,상품 추천
s,맞게 입어야 이쁘거든요,상품 추천
s,네 이건 어때요? 보온되는 거에요,상품 추천
c,돌지난 아기는 몇 호 하나요?,상품 추천
s,이호하면 돼요,상품 추천
c,두종류요? 그러면은 돌 지난 아기는 이호 신으면 되는 건가요?,상품 추천
s,네 이호 신기면 되요,상품 추천
c,미끄럼 방지도 되는 건가요?,상품 추천
s,네,상품 추천
c,크게 나온 것 같은데 몇 호 신켜야 해요?,상품 추천
s,이호 신기시면 돼요,상품 추천
c,이건 몇 호 입혀야 하나요?,상품 추천
s,구십호요,상품 추천
