,SPEAKER,SENTENCE,MAIN
147,고객,근데 전부 나이대가 젊은 아가씨가 하는거 같은데 나이 든 사람 해도 돼요?,상품 추천
148,점원,네 상관없어요,상품 추천
149,고객,뱅글 스타일도 요즘에 많이 하나요?,상품 추천
150,점원,네 요새 팔찌를 두 개 세 개씩 많이 하시다 보니까요,상품 추천
151,고객,근데 요새 젊은 애들은 뭐를 해요?,상품 추천
152,점원,취향들이 다양합니다,상품 추천
153,고객,우리 같은 아줌마도 이런 거 해요?,상품 추천
154,점원,네,상품 추천
155,고객,어떤 걸 한 번 껴보면 괜찮을까요?,상품 추천
156,점원,맘에 드는 것을 골라보세요,상품 추천
157,고객,이 나이에 액세서리 하고 다니면 잘 어울릴까요?,상품 추천
158,점원,누가 하느냐에 달렸지 액세서리로 안 보이잖아요,상품 추천
159,고객,아니요 내 머리가 이런데 어떤 가발이 괜찮을까요?,상품 추천
160,점원,이런 게 어울리겠습니다,상품 추천
161,고객,가발 표 안 나게 할 수 있는 딱딱한 머리띠 있나요?,상품 추천
162,점원,이런 건 어떠세요?,상품 추천
163,고객,그런 건 하고 다니긴 좀 그렇잖아요,상품 추천
164,고객,귀걸이 이런 거는 20대가 하나요?,상품 추천
165,점원,그건 안 하죠,상품 추천
166,고객,이렇게 늘어지는 거는 아줌마들 거예요?,상품 추천
167,점원,좀 그렇죠,상품 추천
168,고객,요새 젊은 애들이 어떤 거 많이 사 가는데요?,상품 추천
169,점원,나이가 어떻게 되세요?,상품 추천
170,고객,스물아홉 살,상품 추천
171,점원,요즘 진주도 많이 해 가요,상품 추천
172,고객,여기 로퍼 형식으로 어른들 신을 수 있는 신발 있어요?,상품 추천
173,고객,이 신발은 너무 젊은 느낌 아닌가요?,상품 추천
174,점원,아니요 이게 가죽에 포인트를 준 거라 고급스러워 보여요,상품 추천
175,고객,나이 들었는데 이런 거 신어도 돼요?,상품 추천
176,점원,괜찮아요 이런 거 금색도 있어요,상품 추천
177,고객,고등학생이 신어도 돼요?,상품 추천
178,점원,고등학생이 좋아하는 스타일은 아니에요,상품 추천
179,고객,이런 거는 어때요?,상품 추천
180,점원,그것도 괜찮고 깔끔하게 신으실 거면 이것도 괜찮아요,상품 추천
181,고객,끈 달린거는 젊은 사람들이 신는 거잖아요?,상품 추천
182,점원,요즘은 오육십 대도 다 신어요,상품 추천
183,고객,요렇게 낮은 거는 다른 거는 없어요?,상품 추천
184,점원,여기 있는 게 다예요,상품 추천
185,고객,뮬 같은건 안나왔나요?,상품 추천
186,점원,아니요 없어요,상품 추천
187,고객,또 다른 거 보여주세요,상품 추천
188,점원,이런 스타일이 있고 굽이 없는 스타일도 있고요,상품 추천
189,고객,추천해주실 스타일 있으세요?,상품 추천
190,고객,이거처럼 발이 좁아 보이는 건?,상품 추천
191,점원,좁아보이는 건 이런 거뿐이에요,상품 추천
192,고객,높은 뒤축이 없는 외출형 신발 같은 거 있어요?,상품 추천
193,점원,저쪽에 있어요,상품 추천
194,고객,운동화는 검정 색깔로 좀 잘 나가는 제품 있나요?,상품 추천
195,점원,검정은 거기 있는 애들 다 잘 나가요,상품 추천
196,고객,나이키로 보여주세요,상품 추천
197,점원,작게 나온 거라서 35 신으셔도 될 거예요,상품 추천
198,고객,추천 좀 해주세요.,상품 추천
199,점원,최근에는 이런 운동화가 제일 반응은 좋아요,상품 추천
200,고객,좀 편하게 신을 수 있고 굽 좀 있는 걸로 소개 좀 시켜주세요,상품 추천
201,점원,이런 종류도 괜찮아요,상품 추천
202,고객,슬립온 스타일 있어요?,상품 추천
203,점원,이거 다 슬립온,상품 추천
204,고객,네 단화인데 너무 파인거 말고 발등 위로 조금 올라오는 거 있죠?,상품 추천
205,점원,편하게 신는 스타일 정도가 로퍼스타일인데 어떠세요?,상품 추천
206,고객,한 번 보여주세요,상품 추천
207,고객,저렇게 끈 달린 거 있나요?,상품 추천
208,점원,다 나갔고 다른 것으로 한 번 보여드릴게요,상품 추천
209,고객,스니커즈는 없어요?,상품 추천
210,점원,네 지금은 없고 새 물건들이 내려와야 돼요,상품 추천
211,고객,어떤 거 있어요?,상품 추천
212,점원,가느다란 거 최고예요,상품 추천
213,고객,다른 거는 추천하고 싶으신 거?,상품 추천
214,점원,그게 제일 나아요,상품 추천
215,고객,이런 디자인으로 검은색은?,상품 추천
216,점원,없어요 검정으로 만들게 되면은 보통 이렇게 나와요,상품 추천
217,고객,여고생들은 어떤 디자인 좋아해요?,상품 추천
218,고객,여고생은 어떤 색상 좋아해요?,상품 추천
219,점원,보통 흰색 아니면 검은색이요,상품 추천
220,점원,학생들 신는 거는 이런 거나 코르테즈 종류 많이 신어요,상품 추천
221,고객,학생들 주로 어떤거 좋아해요?,상품 추천
222,점원,슈퍼스타가 애들한테 인기예요,상품 추천
223,고객,학생들은 뭐 어떤거 좋아해요?,상품 추천
224,점원,학생이면 이런게 제일 잘 나가고요 ,상품 추천
225,고객,요거하고 디자인이 다른 거 좀 있나요?,상품 추천
226,점원,이것 보시면 원단 다 세탁기에 돌리셔도 됩니다,상품 추천
227,고객,스무 살도 이런 가방을 드나요?,상품 추천
228,점원,저희 브랜드를 20대들이 제일 좋아합니다,상품 추천
229,고객,노란색 눈에 띄던데 이십 대들이 많이 드는 거 많죠?,상품 추천
230,점원,네 이십 대 취향 가방 많이 있어요,상품 추천
231,고객,끈이 나이 든 아줌마가 들어도 되나요?,상품 추천
232,점원,이거 나이 층하고는 상관없어요 이런 건 추가 할인 들어가서 금액이 괜찮아요,상품 추천
233,고객,소재는 좋은데 다른 무늬?,상품 추천
234,점원,다른 무늬로는 없습니다,상품 추천
235,고객,요즘 제일 잘 나가는 우리 나이대가 드는 가방은 어떤 거에요?,상품 추천
236,점원,이런 스타일들이 있어요,상품 추천
237,고객,이런식으로 천으로 된건데 네모난 건 없어요? ,상품 추천
238,점원,이런 건 어떠세요?,상품 추천
239,고객,이런 에코백은 가볍긴하다,상품 추천
240,고객,주머니도 달리고 그런 거 없을까요?,상품 추천
241,점원,없어요 이거는 주머니가 그렇게 안달려요,상품 추천
242,고객,주머니 필요한데 권장해주실 거 없어요?,상품 추천
243,점원,네,상품 추천
244,고객,조금 더 큰 게 없구나 주머니가 하나 달린 건 없어요?,상품 추천
245,점원,네,상품 추천
246,고객,이거 비슷한 종류로는 없어요?,상품 추천
247,점원,아까 한 개 팔았어요,상품 추천
248,점원,몇 학년이에요?,상품 추천
249,고객,중삼,상품 추천
250,고객,이쪽은 초등용이에요?,상품 추천
251,점원,네 이 쪽은 입학생들용 이건 초등 아니고 같이 써도 되고요,상품 추천
252,점원,몇 살이에요?,상품 추천
253,고객,이제 여섯 살,상품 추천
254,고객,한 몇 살까지 쓸 수 있을까요?,상품 추천
255,점원,초등학교 2학년 때까지도 쓸 수 있어요,상품 추천
256,고객,연세 드신 분한테 선물할 가방 보여주세요,상품 추천
257,점원,이런 거는 어떠세요?,상품 추천
258,고객,이거는 좀 젊은 사람들이 드는 백이죠?,상품 추천
259,점원,네,상품 추천
260,고객,이런 건 무늬 없이 나오는 건 없어요?,상품 추천
261,점원,저기 있는 게 무늬 있는 단색 템이에요,상품 추천
262,고객,이거같이 이렇게 된 거 좀 큰 거는 없어요?,상품 추천
263,점원,그거는 이제 들어올 거예요,상품 추천
264,고객,요즘 대학생들이 멜만 한 가방이 어떤 게?,상품 추천
265,점원,이거 어떠세요,상품 추천
266,고객,초등학교 1학년들 멜 가방만 한 거 있어요?,상품 추천
267,점원,학교 가방 찾으세요?,상품 추천
268,고객,네 애들 좋아하는 거,상품 추천
269,점원,여학생이에요? 남학생이에요?,상품 추천
270,고객,여학생이요,상품 추천
271,점원,여학생이면 검은색 이런 거 어떠세요?,상품 추천
272,고객,이런 거는 초등학교 몇 학년 때부터 들 수 있어요?,상품 추천
273,점원,그거는 초등학교 2학년까지 들어요,상품 추천
274,고객,지금 초등학교 2학년인데 앞으로 들라 그러면 어떤 가방이 좋을까요?,상품 추천
275,점원,2학년들은 휴대폰 가방 많이 해요,상품 추천
276,고객,이건 유치원생들이 드는 가방인가요?,상품 추천
277,점원,네 유치원생이나 7살 중에 이 캐릭터를 좋아하는 애들이 사가요,상품 추천
278,고객,이렇게 손잡이 있고 끈도 있는 거 있어요?,상품 추천
279,점원,네 손잡이에 끈 있는 것도 있어요,상품 추천
280,고객,중학생인데 가방 뭐가 좋을까요?,상품 추천
281,점원,이거는 잘 나가서 마지막 한 개 남았고 이것도 많이 해요,상품 추천
282,점원,애들이 간혹 이거도 사 가는데 어떠세요?,상품 추천
283,고객,이거는 등산 가방하고 비슷하게 끈 달렸네,상품 추천
284,고객,중학생인데 가방 어떤 거 많이 나가요?,상품 추천
285,점원,중학생 남자애인가요?,상품 추천
286,고객,여자예요,상품 추천
287,점원,이거 잘 나가요,상품 추천
288,고객,혹시 40대 여성분에게 인기있었던 목걸이 추천해주실 수 있나요?,상품 추천
289,점원,네 다음 몇가지 제품들을 소개해드리겠습니다.,상품 추천
290,고객,목걸이 추천해 주실수 있나요?,상품 추천
291,점원,요즘에는 이 디자인이 잘 나갑니다.,상품 추천
292,점원,이렇게 원석이 들어간 건 어떨까요?,상품 추천
293,고객,추천해주실 만한게 있을까요?,상품 추천
294,고객,예물로 하려고 하는데 괜찮나요?,상품 추천
295,점원,다른 고객님들도 이상품을 예물로 많이 하시더라고요,상품 추천
296,고객,이거 말고 평소에 잘 할 수 있는 거 없을까요?,상품 추천
297,점원,아 그럼 이 제품이 데일리로 하기에 너무 좋아요,상품 추천
298,고객,추천을 좀 해주실 수 있겠어요?,상품 추천
299,고객,어머님께 선물드릴 브로치를 보고있는데 추천 좀 해주시겠어요?,상품 추천
300,점원,어머님 나이대가 어떻게 되세요?,상품 추천
301,고객,50대세요,상품 추천
302,점원,화려한걸 좋아하시나요 아님 무난한걸 좋아하시나요?,상품 추천
303,고객,음 무난보다는 화려한걸 좋아하시는 것 같아요,상품 추천
304,점원,그럼 이거 이거 이거 같이 비교해서 보세요,상품 추천
305,고객,선물용 제품이 따로 있나요?,상품 추천
306,점원,네 따로 있습니다,상품 추천
307,고객,저한테는 어떤 라인이 어울릴까요?,상품 추천
308,점원,고객님은 얼굴이 환한 피부톤이라서 실버 제품이 더 잘 어울릴 것 같아요,상품 추천
309,고객,그럼 저랑 어울리는거 추천해주세요,상품 추천
310,고객,그럼 좀 골라주시겠어요?,상품 추천
311,점원,요즘 이 디자인이 인기가 많은데 어떠세요?,상품 추천
312,점원,어머님 나잇대가 어떻게 되세요?,상품 추천
313,고객,50대 중반이요,상품 추천
314,점원,아 그럼 저희 매장에서 어머님들 많이 사가시는거 추천 해드릴께요,상품 추천
315,고객,네 감사합니다,상품 추천
316,고객,남자 시계를 선물하려는데 추천해주세요,상품 추천
317,점원,연령대가 어떻게 되시나요,상품 추천
318,고객,결혼식 참석할 때 할만한 귀걸이 추천해주세요,상품 추천
319,점원,네 고객님 이 진주 귀걸이는 어떠신가요?,상품 추천
320,고객,우정반지 보고 있는데 추천해주세요,상품 추천
321,점원,이 제품이 요즘 잘 나가요,상품 추천
322,고객,데일리용 넥타이핀을 하나 찾고 있어요,상품 추천
323,점원,골드계열의 핀에 자수정 포인트가 들어간 이건 어떠세요?,상품 추천
324,고객,마음에 들어요,상품 추천
325,점원,이제품은 셋트상품으로 커프스도 포함됩니다,상품 추천
326,고객,네 커프스도 하나 사고 싶었는데 좋네요,상품 추천
327,점원,커프스에도 핀과 같은 계열에 자수정 포인트가 있습니다,상품 추천
328,고객,시계 선물하려고 하는데요,상품 추천
329,고객,심플한 목걸이 찾고 있어요,상품 추천
330,점원,앞쪽에서 같이 보여드릴께요,상품 추천
331,고객,그럼 길이 조절이 가능한 목걸이가 있나요?,상품 추천
332,점원,네 지금 보여드린 제품은 14k 제품이라 색이 변하지도 않고 원하시는 대로 길이조절 하실 수 있어요,상품 추천
333,고객,선물용으로 괜찮은 것 좀 추천해주시겠어요?,상품 추천
334,점원,받으시는 분 나이가 어떻게 되시나요?,상품 추천
335,고객,30대 여성한테 어울리는 걸로 골라주세요,상품 추천
336,점원,여기 디자인들이 요즘 30대 여성분들한테 제일 인기 많은 제품입니다,상품 추천
337,고객,조금 더 심플한 반지는 없을까요?,상품 추천
338,점원,그렇다면 오른쪽에 있는 이 반지는 어떠세요?,상품 추천
339,고객,그러면 더비종류로 추천해주시겠어요?,상품 추천
340,점원,요즘 제일 잘나가는 브랜드는 닥터마틴 이에요,상품 추천
341,고객,혹시 나이키 운동화 어디에 있나요?,상품 추천
342,점원,안쪽으로 들어가셔서 왼쪽계단으로 올라가시면 됩니다,상품 추천
343,고객,나이키 러닝화는 어디에 있나요?,상품 추천
344,점원,이쪽으로 오세요,상품 추천
345,고객,신발 추천을 받고싶은데요,상품 추천
346,점원,어떤 용도로 사용하실건가요?,상품 추천
347,고객,실내 배드민턴 전용 운동화를 구매하고 싶어서요,상품 추천
348,점원,그렇다면 이 운동화는 어떠신가요?,상품 추천
349,고객,유명 브랜드의 신발을 사고 싶은데 유행하는 브랜드가 있나요?,상품 추천
350,점원,요즘은 이 브랜드가 유행하고 있습니다.,상품 추천
351,고객,깔금한 검은 색 구두를 찾고 있는데요.,상품 추천
352,점원,"네, 이쪽으로 오시겠어요.",상품 추천
353,고객,가볍고 신었을 때 편한 운동화 추천해주세요,상품 추천
354,점원,이 두 가지가 가볍고 편합니다,상품 추천
355,고객,아니요 추천해주세요,상품 추천
356,점원,네 그럼 이 모델은 어떠신가요?,상품 추천
357,고객,맘에들어요,상품 추천
358,점원,한번 신어보시겠어요?,상품 추천
359,고객,네 맘에 드네요,상품 추천
360,점원,네 알겠습니다,상품 추천
361,고객,운동화 쿠션 좋은거 있나요?,상품 추천
362,점원,네 여기 검정색이랑 은색이 쿠션이 좋습니다.,상품 추천
363,고객,그런데 너무 무난하면 평소에 신기는 너무 심심해서 디자인이 들어가있으면 좋겠어요,상품 추천
364,점원,그럼 이 디자인 어떠세요?,상품 추천
365,고객,오 이쁘네요,상품 추천
366,점원,옆 라인에 펀칭이 잔잔하게 있어서 너무 무난하지도 않고 조잡스럽지도 않아서 좋으실거에요,상품 추천
367,점원,이 디자인은 어떠세요?,상품 추천
368,고객,아디다스 슈퍼스타좀 보러왔는데요,상품 추천
369,점원,네 손님 잠시만기다려주세요,상품 추천
370,고객,아 그거랑 슈퍼스타에 어울릴만한 저지도 좀 같이보여주세요,상품 추천
371,점원,네 저지는 카운터 오른쪽편에 있습니다,상품 추천
372,고객,네 한번 둘러보고있을게요,상품 추천
373,점원,아 손님 죄송한데 현재 슈퍼스타가 매진입니다,상품 추천
374,고객,러닝화 추천해주시겠어요?,상품 추천
375,점원,이 디자인은 어떠신가요?,상품 추천
376,고객,여성구두 선물용으로 추천해주세요,상품 추천
377,점원,이 제품이 요즘 핫합니다,상품 추천
378,고객,혹시 앞코가 뾰족한 모양도 있나요?,상품 추천
379,점원,이 모델은 둥근 모양으로만 나와있습니다,상품 추천
380,고객,구두를 하나 추천해주시겠어요?,상품 추천
381,점원,네 나이가 어떻게 되시나요?,상품 추천
382,고객,25살입니다,상품 추천
383,점원,이 검정색의 구두를 추천드리고 싶어요,상품 추천
384,고객,나이키 신발은 어디에 있어요?,상품 추천
385,점원,오른쪽 끝에 있습니다,상품 추천
386,고객,가볍게 신을 수 있는 운동화 있나요?,상품 추천
387,점원,네 런닝화 제품이 가볍습니다,상품 추천
388,고객,런닝화 종류는 한가지 인가요?,상품 추천
389,점원,오른쪽 선반에 있는 제품 모두 런닝화 입니다,상품 추천
390,고객,유아가 편하게 신을 수 있는 운동화 추천 좀 해주세요,상품 추천
391,점원,네 요즘은 찍찍이가 없는 디자인이 잘 나가요,상품 추천
392,고객,찍찍이가 없으면 더 편하게 신을 수 있겠네요,상품 추천
393,고객,운동화 추천 해주세요,상품 추천
394,점원,이건 어떠세요?,상품 추천
395,고객,디자인이 맘에 안들어요,상품 추천
396,점원,그럼 이 흰색 운동화는요?,상품 추천
397,고객,예쁘네요,상품 추천
398,점원,같은 디자인으로 하늘색도 있어요,상품 추천
399,고객,저희 아이가 초등학교 입학하는데 8살짜리가 맬만한 가방 있을가요 ?,상품 추천
400,점원,"네, 물론이죠.",상품 추천
401,점원,"걱정마세요, 요새 이 뽀로로 가방 보고 안좋아하는 아이 없더라고요.",상품 추천
402,고객,아이가 들고 다닐 수 있는 캐릭터 백팩을 찾고 있습니다. ,상품 추천
403,점원,아이가 좋아하는 캐릭터가 있나요?,상품 추천
404,고객,"네, 터닝메카트를 좋아합니다.",상품 추천
405,점원,이쪽으로 오셔서 한 번 훓어보시겠어요?,상품 추천
406,고객,40대에 맞는 가방이 있나요,상품 추천
407,점원,왼쪽에 있는 가방 보여드릴게요,상품 추천
408,고객,저희 엄마가 사용하실건데요,상품 추천
409,점원,따로 보고오신 제품이 있으신가요?,상품 추천
410,고객,가방에 사용할 수 있는 스카프도 같이 보여주세요,상품 추천
411,점원,준비해드리겠습니다,상품 추천
412,고객,10대 학생들이 많이 매는 걸로 추천 부탁드려요,상품 추천
413,점원,10대 학생들이 가장 많이 사는 제품은 이 흰색 제품이에요,상품 추천
414,고객,비슷한 디자인의 더 저렴한 가방은 없나요,상품 추천
415,점원,옆의 가방은 할인행사중입니다,상품 추천
416,고객,초등학생들이 사용할만한 책가방이 있나요?,상품 추천
417,점원,네 이쪽에 진열되어있습니다,상품 추천
418,고객,어머니께 가방을 선물하고 싶은데 추천을 해주실 수 있으신가요?,상품 추천
419,점원,혹시 어머니의 취향을 아시고 계신가요?,상품 추천
420,고객,너무 화려하지만 않으면 좋아하세요,상품 추천
421,점원,저희 브랜드에 클래식한 컨셉의 A라인이 있습니다,상품 추천
422,고객,아이 가방 좀 보러 왔는데요,상품 추천
423,점원,네 자녀분 성별이 어떻게 되시나요?,상품 추천
424,고객,7살 짜리 아들입니다,상품 추천
425,점원,네 등하교용 보시는건가요?,상품 추천
426,고객,초등학생용 백팩은 어디 있죠?,상품 추천
427,점원,왼쪽 코너에 있습니다,상품 추천
428,고객,같은 디자인에 큰사이즈 제품도 있나요?,상품 추천
429,점원,아니요 이 제품은 이 사이즈 하나예요,상품 추천
430,고객,그럼 그레이 컬러 다른 가방 보여주시겠어요?,상품 추천
431,점원,네 이쪽으로 따라오세요,상품 추천
432,고객,아 그럼 이 가방 말고 다른 비슷한 디자인 상품있나요?,상품 추천
433,점원,네 신상품으로 보여드리겠습니다,상품 추천
434,고객,조금 길이가 긴 스타일이 있을까요?,상품 추천
435,점원,네 잠시만요,상품 추천
